Invoice #	Invoice Date	Invoice Type	Invoice Cancel Date	Status	Invoice Amount	Order #	Order Date	Account Name	Code	Account TIN#	Cash Customer Name	Contact First Name	Contact Last Name	Round Off Amount	Invoice Round Off Amount	Short Amount	Realized Amount	HMCGL Card No	Campaign	B2B Purchase Order #	B2B Order Type	Invoice Header Type	Created By	Inventory Location	Packaging & Forwarding Charges	Tax on Package & Forwarding	Type of Tax P&F	IRN#	IRN Status	Ack#	Ack Date	Credit Note# (Canc.>24h)	IRN# (Canc.>24h)	IRN Status (Canc.>24h)	Ack# (Canc.>24h)	Ack Date (Canc.>24h)
"30305BC26P60467"	"24/03/2026 02:37:10 PM"	"Credit"		"Open"	"Rs.5,867.84"	"30305-02-PSAO-0326-83795"	"19/03/2026 12:21:57 PM"	"KAMAL MOTORS"	"30305-02-DLR-0525-1"					"Rs.0.16"	"Rs.5,868.00"	"Rs.5,868.00"	"Rs.0.00"					"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"1bb1b4ad3f5403640e8da8625e7a1157b7b8d0901999995f4c599b9b8ed31b99"	"ACT"	"142619848429132"	"24/03/2026 02:37:00 PM"					
"30305BC26P60466"	"24/03/2026 02:34:44 PM"	"Credit"		"Open"	"Rs.467.80"	"30305-02-PSAO-0326-85060"	"24/03/2026 11:18:27 AM"	"K K AUTOMOBILES"	"30305-02-ARD-0516-37"	"09207311196"				"Rs.0.20"	"Rs.468.00"	"Rs.468.00"	"Rs.0.00"			"65104-03-PLPO-0226-84"	"STD"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"d3c4dbfa0b29b3292a78b109a0291457018b00e56f9c91e0ffd90314a904aecc"	"ACT"	"142619848402463"	"24/03/2026 02:35:00 PM"					
"30305BC26P60465"	"24/03/2026 02:33:37 PM"	"Credit"		"Open"	"Rs.303.75"	"30305-02-PSAO-0326-84616"	"21/03/2026 03:23:37 PM"	"SRIRAM GOMTI AUTOMOBILES"	"30305-01-SSP-0415-3"	"09954200732"				"Rs.0.25"	"Rs.304.00"	"Rs.304.00"	"Rs.0.00"			"22484-01-PLPO-0326-469"	"STD"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"07792cfe9c73176f89a196d88407a17d5fcaa9f6a912f55744e0d7946e2a785d"	"ACT"	"142619848392023"	"24/03/2026 02:34:00 PM"					
"30305BC26P60464"	"24/03/2026 02:21:36 PM"	"Credit"		"Open"	"Rs.4,734.55"	"30305-02-PSAO-0326-84325"	"20/03/2026 04:39:18 PM"	"SONA AUTO SALES"	"30305-02-SSP-0515-12"	"09507302798"				"Rs.0.45"	"Rs.4,735.00"	"Rs.4,735.00"	"Rs.0.00"			"22691-02-PLPO-0326-321"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"95795e558c217bcdd03ce62fdbb136419c7b66be5955fad56fa910e4118ec9e9"	"ACT"	"142619848271410"	"24/03/2026 02:22:00 PM"					
"30305BC26P60463"	"24/03/2026 02:17:48 PM"	"Credit"		"Open"	"Rs.1,786.06"	"30305-02-PSAO-0326-83788"	"19/03/2026 12:19:47 PM"	"GOVIND AUTO SALES"	"30305-02-SSP-1222-3"					"(Rs.0.06)"	"Rs.1,786.00"	"Rs.1,786.00"	"Rs.0.00"			"23480-02-PLPO-0326-215"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"56e75e96e12e14a3b6471de72260ef84681c03a0988c3c22424005be72f9f910"	"ACT"	"142619848233854"	"24/03/2026 02:18:00 PM"					
"30305BC26P60462"	"24/03/2026 02:17:01 PM"	"Credit"		"Open"	"Rs.200.67"	"30305-02-PSAO-0326-84947"	"23/03/2026 03:26:25 PM"	"PRASHANT KUMAR & COMPANY"	"30305-02-SSP-0415-7"	"09109205811"				"Rs.0.33"	"Rs.201.00"	"Rs.201.00"	"Rs.0.00"			"22342-02-PLPO-0326-538"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"f311ea92d8e470037b178f2c1c788b41bec11bc78d8148f249c766c91c251ada"	"ACT"	"142619848225970"	"24/03/2026 02:17:00 PM"					
"30305BC26P60461"	"24/03/2026 02:16:15 PM"	"Credit"		"Open"	"Rs.380.46"	"30305-02-PSAO-0326-84948"	"23/03/2026 03:42:37 PM"	"SHRI HARI AUTOMOBILE"	"30305-02-SSP-0525-15"					"(Rs.0.46)"	"Rs.380.00"	"Rs.380.00"	"Rs.0.00"			"23920-02-PLPO-0326-396"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"fe743860e34a168cd8a815d66782f654742ff4af358997bebd039c991501dc55"	"ACT"	"142619848218217"	"24/03/2026 02:16:00 PM"					
"30305BC26P60460"	"24/03/2026 02:15:36 PM"	"Credit"		"Open"	"Rs.1,571.77"	"30305-02-PSAO-0326-83809"	"19/03/2026 12:37:34 PM"	"MOSARAM BUSINESS & SERVICES PVT LTD"	"30305-02-DLR-0225-6"					"Rs.0.23"	"Rs.1,572.00"	"Rs.1,572.00"	"Rs.0.00"			"17011-03-PLPO-0326-497"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"a3483ab8d7b858f53ff180a0d74c44fb9e5724226fcdd488d5a7d1bf6b5a8c96"	"ACT"	"142619848212055"	"24/03/2026 02:16:00 PM"					
"30305BC26P60459"	"24/03/2026 02:14:59 PM"	"Credit"		"Open"	"Rs.752.74"	"30305-02-PSAO-0326-83283"	"17/03/2026 07:56:45 PM"	"OM SRI MOTORS"	"30305-01-SSP-0415-7"	"09107301367"				"Rs.0.26"	"Rs.753.00"	"Rs.753.00"	"Rs.0.00"			"22755-02-PLPO-0326-366"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"d23cd2deff10fc7ee6200c1680177a291b0ecff19cce1499a7fa91b82be79272"	"ACT"	"142619848206249"	"24/03/2026 02:15:00 PM"					
"30305BC26P60458"	"24/03/2026 02:14:24 PM"	"Credit"		"Open"	"Rs.1,171.33"	"30305-02-PSAO-0326-84943"	"23/03/2026 03:07:09 PM"	"ARSHI AUTOMOBILES"	"30305-02-SSP-0415-3"	"09107802171"				"(Rs.0.33)"	"Rs.1,171.00"	"Rs.1,171.00"	"Rs.0.00"			"22608-02-PLPO-0326-337"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"3ce4c7c16d32d532ed545d076187bd60c1bd0f87e8a08e39a73c075bb59603f9"	"ACT"	"142619848201040"	"24/03/2026 02:14:00 PM"					
